iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
36;11:01:12;11:01:12;11:01:12;11:01:12;11:01:12;11:01:12;;;11:01:12;11:01:12;11:01:13;11:01:13;11:01:15;11:01:15;11:01:15;11:01:15;11:01:15;11:01:15;;;11:01:15;11:01:15;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
37;11:01:15;11:01:15;11:01:15;11:01:15;11:01:15;11:01:15;;;11:01:15;11:01:15;11:01:16;11:01:16;11:01:17;11:01:17;11:01:17;11:01:17;11:01:17;11:01:17;;;11:01:18;11:01:18;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:02
38;11:01:18;11:01:18;11:01:18;11:01:18;11:01:18;11:01:18;;;11:01:19;11:01:19;11:01:19;11:01:19;11:01:21;11:01:21;11:01:21;11:01:21;11:01:21;11:01:21;;;11:01:22;11:01:22;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
39;11:01:22;11:01:22;11:01:22;11:01:22;11:01:22;11:01:22;;;11:01:22;11:01:22;11:01:23;11:01:23;11:01:25;11:01:25;11:01:25;11:01:25;11:01:25;11:01:25;;;11:01:25;11:01:25;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
40;11:01:25;11:01:25;11:01:25;11:01:25;11:01:26;11:01:26;11:01:26;11:01:26;11:01:26;11:01:26;11:01:26;11:01:26;11:01:28;11:01:28;11:01:28;11:01:28;11:01:28;11:01:28;11:01:28;11:01:28;11:01:36;11:01:36;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:07;00:00:10
41;11:01:36;11:01:36;11:01:36;11:01:36;11:01:36;11:01:36;;;11:01:36;11:01:36;11:01:37;11:01:37;11:01:39;11:01:39;11:01:39;11:01:39;11:01:39;11:01:39;;;11:01:39;11:01:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
42;11:01:39;11:01:39;11:01:39;11:01:39;11:01:39;11:01:39;;;11:01:39;11:01:39;11:01:40;11:01:40;11:01:42;11:01:42;11:01:42;11:01:42;11:01:42;11:01:42;;;11:01:42;11:01:42;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
43;11:01:42;11:01:42;11:01:42;11:01:42;11:01:42;11:01:42;;;11:01:42;11:01:42;11:01:43;11:01:43;11:01:45;11:01:45;11:01:45;11:01:45;11:01:45;11:01:45;;;11:01:45;11:01:45;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:02
44;11:01:45;11:01:45;11:01:45;11:01:45;11:01:45;11:01:45;;;11:01:45;11:01:45;11:01:46;11:01:46;11:01:49;11:01:49;11:01:49;11:01:49;11:01:49;11:01:49;;;11:01:49;11:01:49;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:00;00:00:04
45;11:01:49;11:01:49;11:01:49;11:01:49;11:01:50;11:01:50;;;11:01:50;11:01:50;11:01:50;11:01:50;11:01:52;11:01:52;11:01:52;11:01:52;11:01:52;11:01:52;;;11:01:53;11:01:53;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
46;11:01:53;11:01:53;11:01:53;11:01:53;11:01:53;11:01:53;;;11:01:53;11:01:53;11:01:54;11:01:54;11:01:56;11:01:56;11:01:56;11:01:56;11:01:56;11:01:56;;;11:01:57;11:01:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:04
47;11:01:57;11:01:57;11:01:57;11:01:57;11:01:57;11:01:57;;;11:01:57;11:01:57;11:01:57;11:01:57;11:01:59;11:01:59;11:01:59;11:01:59;11:01:59;11:01:59;;;11:02:00;11:02:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:03
48;11:02:00;11:02:00;11:02:00;11:02:00;11:02:00;11:02:00;;;11:02:01;11:02:01;11:02:01;11:02:01;11:02:03;11:02:03;11:02:03;11:02:03;11:02:03;11:02:03;;;11:02:04;11:02:04;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:01;00:00:03
49;11:02:04;11:02:04;11:02:04;11:02:04;11:02:05;11:02:05;;;11:02:05;11:02:05;11:02:05;11:02:05;11:02:07;11:02:07;11:02:07;11:02:07;11:02:07;11:02:07;;;11:02:08;11:02:08;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
50;11:02:08;11:02:08;11:02:08;11:02:08;11:02:09;11:02:09;11:02:09;11:02:09;11:02:09;11:02:09;11:02:09;11:02:09;11:02:11;11:02:11;11:02:11;11:02:11;11:02:11;11:02:11;11:02:11;11:02:11;11:02:18;11:02:18;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:07;00:00:10
